"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"344",10,12,49,1933,197,338,15,22,54,1387,8156,846
"345",10,12,29,633,443,331,21,22,54,1033,2421,1354
"346",11,14,36,258,655,2208,15,24,49,4847,9352,1699
"347",15,23,22,870,8330,355,15,32,52,1747,3665,2925
"348",9,16,51,293,110,469,11,25,74,1867,911,3046
"349",11,20,24,1832,2760,2920,18,20,70,1084,8252,1446
"350",10,16,32,291,248,415,12,21,91,2002,21936,2325
"351",11,15,30,92,998,703,15,22,61,4602,2096,1066
"352",11,12,24,607,727,146,14,29,79,1572,4746,1126
"353",8,22,39,275,2112,283,14,29,82,1924,1857,1592
"354",13,17,38,156,447,354,15,23,51,5047,6267,2549
"355",13,17,28,306,12632,248,20,36,51,4193,5487,3188
"356",6,16,31,1897,374,373,15,28,46,1626,1118,2407
"357",8,12,33,408,774,100,13,23,72,2459,2582,1641
"358",13,15,16,452,128,348,14,24,105,2116,1732,1410
"359",8,21,36,1172,550,573,15,25,46,2522,7547,2978
"360",11,19,30,270,291,212,14,22,63,702,1789,2245
"361",7,22,43,738,137,557,15,26,58,1346,2571,2344
"362",10,19,45,208,238,218,13,27,82,2479,1528,1333
"363",14,15,37,211,140,1421,15,39,69,2026,1416,3413
"364",10,16,32,338,498,457,14,23,64,905,9057,2349
"365",13,14,41,603,1225,211,15,28,59,775,1980,1073
"366",9,33,40,2186,1167,1039,17,28,48,1888,14239,1187
"367",11,17,40,639,46882,858,17,27,52,1372,1192,1479
"368",15,25,32,667,520,299,14,27,56,3833,2774,1799
"369",9,14,35,122,139,1304,17,20,70,1030,2287,2537
"370",7,12,28,290,417,328,16,18,62,5001,2148,2098
"371",17,23,38,179,53,634,15,24,66,1828,1421,2007
"372",11,16,27,210,2468,1189,17,25,43,1278,940,2154
"373",9,21,53,662,267,273,17,23,57,1819,5613,664
"374",10,20,40,153,17827,261,15,25,37,2891,26311,1073
"375",11,10,54,755,4220,131,14,32,65,1674,763,2645
"376",10,22,39,87,1831,2092,13,22,43,4648,3422,1322
"377",11,14,31,114,419,1403,15,26,74,6237,1911,1229
"378",8,14,56,4699,453,273,20,20,54,2373,1465,526
"379",9,12,33,1442,3655,2491,14,18,47,2391,2800,2093
"380",9,26,61,229,2187,174,16,24,60,2209,56370,1454
"381",11,16,37,325,5336,1248,14,32,48,1291,626,2644
"382",9,11,32,379,385,215,17,21,75,2080,4225,874
"383",10,18,42,196,315,822,19,51,64,1551,15226,792
"384",8,20,64,116,2492,321,21,29,49,2994,20867,616
"385",11,16,27,340,708,67,14,29,45,709,7731,887
"386",13,12,42,527,128,237,16,30,59,1371,9452,1107
"387",13,25,34,158,186,1019,14,22,47,4823,1725,1376
"388",9,17,33,423,7936,1342,14,22,58,2609,96454,631
"389",12,16,67,146,1480,370,12,20,85,1857,7772,642
"390",15,21,38,268,3243,177,16,28,65,1249,3697,1528
"391",9,18,39,2787,4256,119,16,26,56,1505,1691,1494
"392",9,13,40,205,1173,135,17,26,60,904,1244,1458
"393",7,17,24,820,129,690,19,28,47,1439,11687,1198
"394",15,11,45,1461,1277,558,21,23,52,2265,920,1715
"395",11,14,30,431,144,156,12,30,72,561,12152,537
"396",10,16,30,592,499,226,14,27,53,1277,1591,2227
"397",11,24,40,1299,2738,266,14,23,77,1558,6964,2947
"398",10,9,22,423,124,645,14,20,73,1244,1936,1622
"399",9,24,20,2539,970,933,12,27,65,1807,25238,2756
"400",12,16,64,133,482,242,11,30,82,1445,13655,987
"401",11,24,32,178,1901,178,13,25,57,1596,2026,3243
"402",7,14,45,142,448,2090,14,19,62,1568,1547,784
"403",8,29,20,909,7486,588,12,30,88,2501,12119,1448
"404",11,19,48,189,641,207,12,25,63,791,6469,3858
"405",12,18,40,741,401,729,20,31,49,1812,4106,2226
"406",9,20,37,736,214,334,19,22,57,1411,1551,1004
"407",10,24,67,237,3358,3908,14,30,61,980,3474,1565
"408",9,17,41,430,1297,949,14,22,54,1892,1639,2104
"409",8,25,38,367,1698,347,19,20,89,5195,1540,2971
"410",8,12,30,256,1372,165,20,24,55,2264,2839,745
"411",7,14,38,1174,525,210,18,21,42,946,116305,3920
"412",11,30,25,130,7585,99,12,28,64,3112,17546,2505
"413",14,18,28,1210,151,617,14,28,68,703,1053,2648
"414",8,17,30,632,139,651,21,20,65,693,4813,720
"415",12,10,41,411,111,405,14,24,46,1565,8173,1808
"416",11,22,58,467,279,200,14,30,63,1431,64933,620
"417",10,10,40,894,65990,533,11,17,79,1386,12453,971
"418",9,25,35,278,137,323,15,23,65,1469,3392,2419
"419",7,15,34,1121,463,649,12,23,52,2084,2992,1867
"420",11,13,36,2548,979,746,14,23,51,1695,11583,1538
"421",9,15,33,214,188,2409,17,22,67,1667,4090,632
"422",8,12,40,669,649,81,16,25,44,1053,2450,1016
"423",6,14,40,1222,240,199,13,27,51,2018,7854,1903
"424",10,18,34,653,275,1086,14,28,65,2307,5504,1826
"425",9,13,38,180,249,206,16,24,51,2109,1778,1589
"426",9,14,24,165,2806,812,14,26,66,1740,44297,1889
"427",7,14,27,831,3899,115,16,20,42,441,7604,1612
"428",6,23,44,3358,648,165,15,25,43,3568,2147,714
"429",13,15,34,1261,327,274,12,21,48,765,102226,1329
"430",10,20,32,375,440,1814,16,57,56,2562,3239,2944
"431",14,22,20,82,214,92,11,26,60,1067,93173,799
"432",11,18,28,162,1399,327,12,24,55,2711,3358,1836
"433",8,14,29,370,542,215,15,32,101,675,3252,650
"434",12,21,42,1568,693,391,12,23,63,1948,1555,1126
"435",8,26,28,510,441,291,13,19,44,2235,559,964
"436",15,18,53,998,145,130,16,24,46,2954,14663,602
"437",10,14,29,459,12288,382,15,22,77,1505,7204,950
"438",12,15,23,234,531,966,16,22,69,771,10465,2819
"439",11,17,36,482,226,103,14,19,61,1082,3641,2312
"440",9,9,31,872,140,382,14,21,80,2678,4378,1055
"441",13,21,51,322,979,68,16,23,47,1241,3399,881
"442",11,24,44,428,915,255,13,24,57,3335,15603,952
"443",10,17,35,319,1810,525,12,23,66,1350,8227,1175
"444",8,21,29,425,243,51,13,20,66,1127,1342,1661
"445",10,14,26,230,175,94,16,20,62,709,2041,1686
"446",9,15,34,144,234,109,18,22,59,2168,629651,1879
"447",10,21,43,180,694,100,15,26,56,1470,27659,3003
"448",8,12,37,2446,279,252,21,32,57,470,15470,1814
"449",10,13,39,275,278,137,12,26,87,897,7147,1940
"450",15,20,28,278,407,1091,13,24,49,1896,2404,1564
"451",16,20,41,454,601,351,21,27,45,1170,16685,2123
"452",11,27,36,170,5105,845,16,24,60,1539,15054,1785
"453",9,14,52,415,262,86,15,29,55,1659,1381,1454
"454",15,15,81,1685,1414,3033,13,22,84,1842,8963,2657
"455",11,19,31,330,742,97,12,28,49,1540,1473,1169
"456",12,20,36,1546,805,344,15,24,70,988,1813,1203
